,Marque,Taille,État,Couleur,Emplacement,Modepaiement,Nombre de vus,interet,ajout,genre,prix
102,THE KOOPLES ,38,NEUF AVEC ÉTIQUETTE,"NOIR, ARGENTÉ","ISSY-LES-MOULINEAUX, FRANCE","CARTE BANCAIRE, PAYPAL",150,4 UTILISATEURS,IL Y A UN JOUR,Femmes,"350,00 €"
103,SESSUN ,36,TRÈS BON ÉTAT,"MARRON, BEIGE","BAILLY-ROMAINVILLIERS, FRANCE","CARTE BANCAIRE, PAYPAL",95,4 UTILISATEURS,IL Y A 7 JOURS,Femmes,"60,00 €"
104,VINTAGE ,45,NEUF SANS ÉTIQUETTE,"BEIGE , ROUGE","BILBAO, ESPAÑA","CARTE BANCAIRE, PAYPAL",29,4 UTILISATEURS,IL Y A UN JOUR,Hommes,"80,00 €"
105,MTNG ,39,NEUF AVEC ÉTIQUETTE,MARRON,"GILLY, BELGIQUE / BELGIË","CARTE BANCAIRE, PAYPAL",5,2 UTILISATEURS,IL Y A 3 JOURS,Femmes,"20,00 €"
106,BALENCIAGA ,37,TRÈS BON ÉTAT,VIOLET,"MEULAN-EN-YVELINES, FRANCE","CARTE BANCAIRE, PAYPAL",56,2 UTILISATEURS,IL Y A UN JOUR,Femmes,"405,00 €"
107,ADIDAS ,45,NEUF SANS ÉTIQUETTE,"NOIR, JAUNE","BRY-SUR-MARNE, FRANCE","CARTE BANCAIRE, PAYPAL",304,33 UTILISATEURS,IL Y A 8 JOURS,Hommes,"45,00 €"
108,MTNG ,39,NEUF AVEC ÉTIQUETTE,NOIR,"GILLY, BELGIQUE / BELGIË","CARTE BANCAIRE, PAYPAL",12,1 UTILISATEUR,IL Y A 3 JOURS,Femmes,"20,00 €"
109,NIKE ,45,NEUF AVEC ÉTIQUETTE,"JAUNE, VERT","AMSTERDAM, NEDERLAND","CARTE BANCAIRE, PAYPAL",359,9 UTILISATEURS,IL Y A 9 JOURS,Hommes,"340,00 €"
110,ADIDAS ,36.5,NEUF AVEC ÉTIQUETTE,"BEIGE , BLEU CLAIR",FRANCE,"CARTE BANCAIRE, PAYPAL",163,10 UTILISATEURS,IL Y A UN JOUR,Femmes,"120,00 €"
111,NIKE ,43,TRÈS BON ÉTAT,"MARRON, BEIGE","DOLE, FRANCE","CARTE BANCAIRE, PAYPAL",118,3 UTILISATEURS,IL Y A UN JOUR,Hommes,"950,00 €"
112,NIKE ,38.5,BON ÉTAT,"ROUGE, JAUNE","BREUIL-BOIS-ROBERT, FRANCE","CARTE BANCAIRE, PAYPAL",41,3 UTILISATEURS,IL Y A 7 JOURS,Femmes,"75,00 €"
113,NIKE ,42,NEUF AVEC ÉTIQUETTE,"NOIR, BLANC","SOLAIZE, FRANCE","CARTE BANCAIRE, PAYPAL",103,3 UTILISATEURS,IL Y A 7 JOURS,Hommes,"95,00 €"
114,ASICS ,37,BON ÉTAT,NOIR,"PORTO-VECCHIO, FRANCE","CARTE BANCAIRE, PAYPAL",101,3 UTILISATEURS,IL Y A 2 JOURS,Femmes,"10,00 €"
115,LOUIS VUITTON ,41,TRÈS BON ÉTAT,NOIR,"HOUTEN, NEDERLAND","CARTE BANCAIRE, PAYPAL",96,3 UTILISATEURS,IL Y A 2 JOURS,Hommes,"275,00 €"
116,NIKE ,38.5,BON ÉTAT,"ROUGE, JAUNE","BREUIL-BOIS-ROBERT, FRANCE","CARTE BANCAIRE, PAYPAL",41,3 UTILISATEURS,IL Y A 7 JOURS,Femmes,"75,00 €"
117,ASICS ,37,BON ÉTAT,NOIR,"PORTO-VECCHIO, FRANCE","CARTE BANCAIRE, PAYPAL",101,3 UTILISATEURS,IL Y A 2 JOURS,Femmes,"10,00 €"
118,NIKE ,38.5,TRÈS BON ÉTAT,"BLEU, BLANC",NEDERLAND,"CARTE BANCAIRE, PAYPAL",19,3 UTILISATEURS,IL Y A 9 JOURS,Femmes,"65,00 €"
119,LOUIS VUITTON ,41,TRÈS BON ÉTAT,NOIR,"HOUTEN, NEDERLAND","CARTE BANCAIRE, PAYPAL",96,3 UTILISATEURS,IL Y A 2 JOURS,Hommes,"275,00 €"
120,NIKE ,41,NEUF SANS ÉTIQUETTE,BLANC,"CALAIS, FRANCE","CARTE BANCAIRE, PAYPAL",32,3 UTILISATEURS,IL Y A 2 JOURS,Hommes,"130,00 €"
121,KENZO ,40,TRÈS BON ÉTAT,"NOIR, BLANC","CHAMPIGNY-SUR-MARNE, FRANCE","CARTE BANCAIRE, PAYPAL",292,3 UTILISATEURS,IL Y A 6 JOURS,Femmes,"130,00 €"
122,NIKE ,43,NEUF SANS ÉTIQUETTE,NOIR,"SAINT-BAUDELLE, FRANCE","CARTE BANCAIRE, PAYPAL",94,2 UTILISATEURS,IL Y A 14 JOURS,Hommes,"130,00 €"
123,NIKE ,38,TRÈS BON ÉTAT,"ROUGE, BLEU","RENNES, FRANCE","CARTE BANCAIRE, PAYPAL",45,2 UTILISATEURS,IL Y A 2 JOURS,Femmes,"150,00 €"
